ds,y
6/7/2017,359.6499939
6/8/2017,370
6/9/2017,357.3200073
6/12/2017,359.0100098
6/13/2017,375.9500122
6/14/2017,380.6600037
6/15/2017,375.3399963
6/16/2017,371.3999939
6/19/2017,369.7999878
6/20/2017,372.2399902
6/21/2017,376.3999939
6/22/2017,382.6099854
6/23/2017,383.4500122
6/26/2017,377.4899902
6/27/2017,362.3699951
6/28/2017,371.2399902
6/29/2017,360.75
6/30/2017,361.6099854
7/3/2017,352.6199951
7/5/2017,327.0899963
7/6/2017,308.8299866
7/7/2017,313.2200012
7/10/2017,316.0499878
7/11/2017,327.2200012
7/12/2017,329.519989
7/13/2017,323.4100037
7/14/2017,327.7799988
7/17/2017,319.5700073
7/18/2017,328.2399902
7/19/2017,325.2600098
7/20/2017,329.9200134
7/21/2017,328.3999939
7/24/2017,342.519989
7/25/2017,339.6000061
7/26/2017,343.8500061
7/27/2017,334.4599915
7/28/2017,335.0700073
7/31/2017,323.4700012
8/1/2017,319.5700073
8/2/2017,325.8900146
8/3/2017,347.0899963
8/4/2017,356.9100037
8/7/2017,355.1700134
8/8/2017,365.2200012
8/9/2017,363.5299988
8/10/2017,355.3999939
8/11/2017,357.8699951
8/14/2017,363.7999878
8/15/2017,362.3299866
8/16/2017,362.9100037
8/17/2017,351.9200134
8/18/2017,347.4599915
8/21/2017,337.8599854
8/22/2017,341.3500061
8/23/2017,352.769989
8/24/2017,352.9299927
8/25/2017,348.0499878
8/28/2017,345.6600037
8/29/2017,347.3599854
8/30/2017,353.1799927
8/31/2017,355.8999939
9/1/2017,355.3999939
9/5/2017,349.5899963
9/6/2017,344.5299988
9/7/2017,350.6099854
9/8/2017,343.3999939
9/11/2017,363.6900024
9/12/2017,362.75
9/13/2017,366.230011
9/14/2017,377.6400146
9/15/2017,379.8099976
9/18/2017,385
9/19/2017,375.1000061
9/20/2017,373.9100037
9/21/2017,366.480011
9/22/2017,351.0899963
9/25/2017,344.9899902
9/26/2017,345.25
9/27/2017,340.9700012
9/28/2017,339.6000061
9/29/2017,341.1000061
10/2/2017,341.5299988
10/3/2017,348.1400146
10/4/2017,355.0100098
10/5/2017,355.3299866
10/6/2017,356.8800049
10/9/2017,342.9400024
10/10/2017,355.5899963
10/11/2017,354.6000061
10/12/2017,355.6799927
10/13/2017,355.5700073
10/16/2017,350.6000061
10/17/2017,355.75
10/18/2017,359.6499939
10/19/2017,351.8099976
10/20/2017,345.1000061
10/23/2017,337.019989
10/24/2017,337.3399963
10/25/2017,325.8399963
10/26/2017,326.1700134
10/27/2017,320.8699951
10/30/2017,320.0799866
10/31/2017,331.5299988
11/1/2017,321.0799866
11/2/2017,299.2600098
11/3/2017,306.0899963
11/6/2017,302.7799988
11/7/2017,306.0499878
11/8/2017,304.3900146
